training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,exploration/prev_button_states,exploration/button_states,exploration/prev_qpos,exploration/prev_qvel,exploration/qpos,exploration/qvel,exploration/control,exploration/time,exploration/success,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,step
180.79742,0.1999799,0.16194835,0.18014783,-178.97797,178.97797,1.9946187,-91.26076,-182.34177,-357.93945,0.9848606,-0.94497454,63.42205,223.16595,0.75031716,0.21842599,0.29997048,-220.23138,220.23138,116.19504,-131.74158,-222.63673,-307.73117,0.00734558388710022,2475.621096134186,0.375,0.375,-0.28215971846213656,0.004459705134747526,-0.2822688266402945,-0.0013207830642798352,-1.2460015595886813,25.249999999996884,0.0,300000.0,-2.0,-1575.0,500.0,3.479311943054199,300000
181.6644,0.17465003,0.14334133,0.15118627,-180.05634,180.05634,1.3385308,-107.078995,-182.75604,-349.6691,0.69812834,-1.2895336,46.175053,227.46043,0.62502134,0.20817797,0.28430915,-224.75363,224.75363,100.47635,-143.93706,-226.7601,-302.6931,0.009377956132888794,2710.0700092315674,0.375,0.375,-0.15496838321975132,0.001095543170759534,-0.15434829208595655,0.010268444577549532,11.618209282830728,25.249999999996884,0.0,325000.0,-2.0,-1193.0,500.0,4.998673439025879,325000
172.57455,0.18429156,0.15645964,0.16599391,-170.82567,170.82567,1.9051301,-81.94137,-174.12341,-352.80353,1.937061,-1.8738889,65.890045,223.01466,0.8777766,0.23129988,0.29444045,-219.82388,219.82388,131.38553,-146.7903,-222.2573,-300.0441,0.007560550289154052,2899.083779811859,0.375,0.375,-0.31076537263498183,-0.009241611499998626,-0.31048607467919137,0.00821925068513018,-1.386463386196091,25.249999999996884,0.0,350000.0,-2.0,-1835.0,500.0,5.062199831008911,350000
177.72485,0.15363853,0.13758235,0.14347146,-176.19539,176.19539,1.3651783,-99.34483,-178.9594,-364.58063,0.7728534,-1.062817,41.843994,224.65092,0.8871795,0.22519235,0.28131923,-221.51183,221.51183,71.962685,-149.3709,-223.30063,-310.69785,0.009141706790924072,3127.6264588832855,0.375,0.375,-0.12814076904797486,0.022748467805169637,-0.12869845145491252,-0.008592813912827794,17.79905343415004,25.249999999996884,0.0,375000.0,-2.0,-1168.0,500.0,4.4281628131866455,375000
164.90909,0.1876714,0.13778678,0.14449334,-163.34355,163.34355,1.4870186,-92.66195,-166.10498,-325.84924,2.2780173,-1.576681,58.924015,222.91487,0.6983468,0.22497931,0.28160128,-219.96674,219.96674,107.50051,-147.23344,-222.1871,-317.11044,0.007876276483535767,3324.533382177353,0.375,0.375,-0.2627849948287571,-0.005853607684013,-0.263169160758283,-0.0021052885050932947,35.017883177562865,25.249999999996884,0.0,400000.0,-2.0,-1208.0,500.0,4.269809246063232,400000
178.38373,0.18238115,0.14097445,0.15082136,-176.7916,176.7916,1.4332862,-102.40189,-179.68304,-372.8448,1.0759375,-1.32467,51.286568,227.16122,0.61899376,0.26223737,0.29949015,-223.91986,223.91986,109.29337,-149.72263,-226.78528,-304.5221,0.008581733589172363,3539.0767312049866,0.375,0.375,-0.21611807126298707,-0.0023476951732820505,-0.21616219156318525,0.00028033739329254005,21.117493147037077,25.249999999996884,0.0,425000.0,-2.0,-1344.0,500.0,3.255260944366455,425000
167.3887,0.12973964,0.1442798,0.15614049,-165.81616,165.81616,1.173892,-89.40902,-168.5529,-387.92044,0.98220384,-0.59974265,37.224457,228.95209,0.5734951,0.22124591,0.28406358,-226.16614,226.16614,97.22421,-150.57938,-228.18428,-320.6175,0.007750621795654297,3732.842284679413,0.375,0.375,-0.28027345141756865,-0.002012697810487552,-0.2803652283520555,-0.0015347516533541232,-1.264885825775912,25.249999999996884,0.0,450000.0,-2.0,-1260.0,500.0,3.41671085357666,450000
166.59117,0.15655899,0.12949488,0.13981669,-165.13966,165.13966,1.111208,-53.656193,-167.64249,-380.6624,1.7618659,-0.7328473,42.674862,217.11229,1.4250635,0.2515711,0.30016825,-213.17151,213.17151,93.67573,-140.61963,-215.60129,-295.83722,0.00833029725074768,3941.099724292755,0.375,0.375,-0.28041285478702965,0.001408396560879319,-0.27982602997699935,0.010105177296243524,-1.1910661575598571,25.249999999996884,0.0,475000.0,-2.0,-1107.0,500.0,3.5109522342681885,475000
162.9181,0.18174937,0.11123295,0.12597315,-161.62402,161.62402,1.8634399,-93.451225,-164.07455,-354.26547,0.89307606,-1.3349183,48.677635,230.12555,3.371615,0.25067046,0.31030214,-224.24722,224.24722,82.68349,-152.29996,-227.40463,-316.9343,0.008037097177505493,4142.027161836624,0.375,0.375,-0.23907467116320943,4.362948041008863e-06,-0.23912814215987993,-0.000892136857573135,-0.24576478378704575,25.249999999996884,0.0,500000.0,-2.0,-1334.0,500.0,3.396669626235962,500000
149.30309,0.18692294,0.11403215,0.12819986,-147.97585,147.97585,1.7571461,-74.16545,-150.18115,-337.9302,0.6655032,-0.9823468,46.918682,211.02599,0.78966206,0.23075496,0.3026856,-207.92877,207.92877,96.48538,-136.35089,-210.48254,-301.5024,0.00947913384437561,4379.005516767502,0.375,0.375,-0.27460082022992877,-0.0004126649952397066,-0.274619738469127,-4.859724562248416e-05,-1.2419871077045384,25.249999999996884,0.0,525000.0,-2.0,-1324.0,500.0,3.477412462234497,525000
