env,task,config_name,seed,target_steps,status,final_step,success_final,return_final,length_final,success_best,best_step,final_vs_valueflow,valueflow_success_mean,good_case_candidate,strong_good_case_candidate,best_high_final_collapse,curve_points,eval_csv,train_csv,run_dir,success_trajectory
cube-triple-play-singletask-task5-v0,cube-triple task5,A2_action_std_lam0p003,2,300000,COMPLETED,300000,0.0,-2910.0,1000.0,0.0,1,-0.02,0.02,False,False,False,7,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task5_A2_action_std_lam0p003_seed2/sd002_20260620_062642/eval.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task5_A2_action_std_lam0p003_seed2/sd002_20260620_062642/train.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task5_A2_action_std_lam0p003_seed2/sd002_20260620_062642,1:0 -> 50k:0 -> 100k:0 -> 150k:0 -> 200k:0 -> 250k:0 -> 300k:0
cube-triple-play-singletask-task5-v0,cube-triple task5,P0_particle,2,300000,COMPLETED,300000,0.0,-2906.3,1000.0,0.0,1,-0.02,0.02,False,False,False,7,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task5_P0_particle_seed2/sd002_20260620_074258/eval.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task5_P0_particle_seed2/sd002_20260620_074258/train.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task5_P0_particle_seed2/sd002_20260620_074258,1:0 -> 50k:0 -> 100k:0 -> 150k:0 -> 200k:0 -> 250k:0 -> 300k:0
cube-triple-play-singletask-task3-v0,cube-triple task3,A1_action_std_lam0p001,2,300000,COMPLETED,300000,0.0,-2855.0,1000.0,0.0,1,-0.07,0.07,False,False,False,7,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task3_A1_action_std_lam0p001_seed2/sd002_20260620_085857/eval.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task3_A1_action_std_lam0p001_seed2/sd002_20260620_085857/train.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task3_A1_action_std_lam0p001_seed2/sd002_20260620_085857,1:0 -> 50k:0 -> 100k:0 -> 150k:0 -> 200k:0 -> 250k:0 -> 300k:0
cube-triple-play-singletask-task3-v0,cube-triple task3,A2_action_std_lam0p003,2,300000,COMPLETED,300000,0.0,-2755.5,1000.0,0.0,1,-0.07,0.07,False,False,False,7,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task3_A2_action_std_lam0p003_seed2/sd002_20260620_101506/eval.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task3_A2_action_std_lam0p003_seed2/sd002_20260620_101506/train.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task3_A2_action_std_lam0p003_seed2/sd002_20260620_101506,1:0 -> 50k:0 -> 100k:0 -> 150k:0 -> 200k:0 -> 250k:0 -> 300k:0
cube-triple-play-singletask-task3-v0,cube-triple task3,R2_residual_disagree_lam0p001,2,300000,COMPLETED,300000,0.2,-2119.1,908.3,0.2,300000,0.13,0.07,True,False,False,7,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task3_R2_residual_disagree_lam0p001_seed2/sd002_20260620_113121/eval.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task3_R2_residual_disagree_lam0p001_seed2/sd002_20260620_113121/train.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task3_R2_residual_disagree_lam0p001_seed2/sd002_20260620_113121,1:0 -> 50k:0 -> 100k:0 -> 150k:0 -> 200k:0 -> 250k:0 -> 300k:0.2
cube-triple-play-singletask-task3-v0,cube-triple task3,P0_particle,2,300000,COMPLETED,300000,0.0,-2715.1,1000.0,0.0,1,-0.07,0.07,False,False,False,7,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task3_P0_particle_seed2/sd002_20260620_124818/eval.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task3_P0_particle_seed2/sd002_20260620_124818/train.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task3_P0_particle_seed2/sd002_20260620_124818,1:0 -> 50k:0 -> 100k:0 -> 150k:0 -> 200k:0 -> 250k:0 -> 300k:0
scene-play-singletask-task4-v0,scene task4,A1_action_std_lam0p001,2,300000,COMPLETED,300000,0.1,-799.9,692.7,0.7,250000,0.03,0.07,False,False,True,7,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_scene_task4_A1_action_std_lam0p001_seed2/sd002_20260620_140539/eval.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_scene_task4_A1_action_std_lam0p001_seed2/sd002_20260620_140539/train.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_scene_task4_A1_action_std_lam0p001_seed2/sd002_20260620_140539,1:0 -> 50k:0 -> 100k:0.3 -> 150k:0.5 -> 200k:0.3 -> 250k:0.7 -> 300k:0.1
scene-play-singletask-task4-v0,scene task4,A2_action_std_lam0p003,2,300000,COMPLETED,300000,0.1,-884.4,744.6,0.9,100000,0.03,0.07,False,False,True,7,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_scene_task4_A2_action_std_lam0p003_seed2/sd002_20260620_152041/eval.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_scene_task4_A2_action_std_lam0p003_seed2/sd002_20260620_152041/train.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_scene_task4_A2_action_std_lam0p003_seed2/sd002_20260620_152041,1:0 -> 50k:0 -> 100k:0.9 -> 150k:0 -> 200k:0.1 -> 250k:0.3 -> 300k:0.1
scene-play-singletask-task4-v0,scene task4,R2_residual_disagree_lam0p001,2,300000,COMPLETED,300000,0.0,-800.4,750.0,0.6,100000,-0.07,0.07,False,False,True,7,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_scene_task4_R2_residual_disagree_lam0p001_seed2/sd002_20260620_163655/eval.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_scene_task4_R2_residual_disagree_lam0p001_seed2/sd002_20260620_163655/train.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_scene_task4_R2_residual_disagree_lam0p001_seed2/sd002_20260620_163655,1:0 -> 50k:0 -> 100k:0.6 -> 150k:0.1 -> 200k:0.3 -> 250k:0.5 -> 300k:0
scene-play-singletask-task4-v0,scene task4,P0_particle,2,300000,COMPLETED,300000,0.2,-851.5,734.1,0.6,100000,0.13,0.07,True,False,False,7,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_scene_task4_P0_particle_seed2/sd002_20260620_175503/eval.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_scene_task4_P0_particle_seed2/sd002_20260620_175503/train.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_scene_task4_P0_particle_seed2/sd002_20260620_175503,1:0 -> 50k:0.1 -> 100k:0.6 -> 150k:0.2 -> 200k:0.2 -> 250k:0.2 -> 300k:0.2
