server,source_family,eval_csv,train_csv,command_txt,run_dir,env,domain,task,config,seed,target_steps,final_step,status,success_final,return_final,length_final,success_best,best_step,success_peak_after_500k,peak_step_after_500k,curve_points,trajectory_full,mtime,error
single4090,bad_task_repair_single4090,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed0/sd000_20260612_093350/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed0/sd000_20260612_093350/train.csv,,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed0/sd000_20260612_093350,cube-double-play-singletask-task2-v0,cube-double-play,task2,R3_residual_disagree_typicality_lam0p001,0,1000000,1000000,COMPLETED,0.7,-450,273.3,0.9,450000,0.9,700000,21,1:0 -> 50000:0 -> 100000:0 -> 150000:0 -> 200000:0.1 -> 250000:0.1 -> 300000:0.5 -> 350000:0.5 -> 400000:0.5 -> 450000:0.9 -> 500000:0.8 -> 550000:0.3 -> 600000:0.5 -> 650000:0.8 -> 700000:0.9 -> 750000:0.8 -> 800000:0.7 -> 850000:0.9 -> 900000:0.6 -> 950000:0.8 -> 1000000:0.7,2026-06-12T13:32:59,
single4090,bad_task_repair_single4090,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed1/sd001_20260612_133305/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed1/sd001_20260612_133305/train.csv,,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed1/sd001_20260612_133305,cube-double-play-singletask-task2-v0,cube-double-play,task2,R3_residual_disagree_typicality_lam0p001,1,1000000,1000000,COMPLETED,0.9,-280.2,198.3,0.9,650000,0.9,650000,21,1:0 -> 50000:0 -> 100000:0 -> 150000:0 -> 200000:0 -> 250000:0 -> 300000:0 -> 350000:0.1 -> 400000:0.4 -> 450000:0.7 -> 500000:0.3 -> 550000:0.4 -> 600000:0.7 -> 650000:0.9 -> 700000:0.7 -> 750000:0.7 -> 800000:0.9 -> 850000:0.8 -> 900000:0.8 -> 950000:0.8 -> 1000000:0.9,2026-06-12T17:32:55,
single4090,bad_task_repair_single4090,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260609_104958/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260609_104958/train.csv,,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260609_104958,cube-double-play-singletask-task2-v0,cube-double-play,task2,R3_residual_disagree_typicality_lam0p001,2,300000,300000,COMPLETED,0.4,-644.3,365,0.4,300000,,,7,1:0 -> 50000:0 -> 100000:0 -> 150000:0 -> 200000:0.1 -> 250000:0.2 -> 300000:0.4,2026-06-09T12:03:36,
single4090,bad_task_repair_single4090,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260611_203011/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260611_203011/train.csv,,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260611_203011,cube-double-play-singletask-task2-v0,cube-double-play,task2,R3_residual_disagree_typicality_lam0p001,2,1000000,1000000,COMPLETED,0.9,-369.7,239.4,0.9,1000000,0.9,1000000,21,1:0 -> 50000:0 -> 100000:0 -> 150000:0 -> 200000:0 -> 250000:0 -> 300000:0.4 -> 350000:0.3 -> 400000:0.3 -> 450000:0.8 -> 500000:0.6 -> 550000:0.8 -> 600000:0.6 -> 650000:0.8 -> 700000:0.7 -> 750000:0.8 -> 800000:0.6 -> 850000:0.8 -> 900000:0.8 -> 950000:0.8 -> 1000000:0.9,2026-06-12T00:29:34,
single4090,bad_task_repair_single4090,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_A1_action_std_lam0p001_seed2/sd002_20260609_154329/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_A1_action_std_lam0p001_seed2/sd002_20260609_154329/train.csv,,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_A1_action_std_lam0p001_seed2/sd002_20260609_154329,cube-double-play-singletask-task3-v0,cube-double-play,task3,A1_action_std_lam0p001,2,300000,300000,COMPLETED,0.4,-681.6,391.5,0.4,300000,,,7,1:0 -> 50000:0 -> 100000:0 -> 150000:0 -> 200000:0 -> 250000:0 -> 300000:0.4,2026-06-09T16:56:32,
single4090,bad_task_repair_single4090,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task3_A2_action_std_lam0p003_seed0/sd000_20260612_213228/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task3_A2_action_std_lam0p003_seed0/sd000_20260612_213228/train.csv,,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task3_A2_action_std_lam0p003_seed0/sd000_20260612_213228,cube-double-play-singletask-task3-v0,cube-double-play,task3,A2_action_std_lam0p003,0,1000000,1000000,COMPLETED,0.8,-394.8,283.3,1,700000,1,700000,21,1:0 -> 50000:0 -> 100000:0 -> 150000:0 -> 200000:0 -> 250000:0 -> 300000:0.1 -> 350000:0.1 -> 400000:0 -> 450000:0.5 -> 500000:0.5 -> 550000:0.8 -> 600000:0.8 -> 650000:0.7 -> 700000:1 -> 750000:0.7 -> 800000:0.6 -> 850000:0.6 -> 900000:0.7 -> 950000:0.9 -> 1000000:0.8,2026-06-13T01:32:20,
single4090,bad_task_repair_single4090,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task3_A2_action_std_lam0p003_seed1/sd001_20260613_013227/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task3_A2_action_std_lam0p003_seed1/sd001_20260613_013227/train.csv,,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task3_A2_action_std_lam0p003_seed1/sd001_20260613_013227,cube-double-play-singletask-task3-v0,cube-double-play,task3,A2_action_std_lam0p003,1,1000000,1000000,COMPLETED,0.8,-465.4,273.2,1,800000,1,800000,21,1:0 -> 50000:0 -> 100000:0 -> 150000:0 -> 200000:0 -> 250000:0.1 -> 300000:0 -> 350000:0.2 -> 400000:0.2 -> 450000:0.7 -> 500000:0.5 -> 550000:0.3 -> 600000:0.8 -> 650000:0.5 -> 700000:0.8 -> 750000:0.6 -> 800000:1 -> 850000:0.7 -> 900000:1 -> 950000:0.5 -> 1000000:0.8,2026-06-13T05:31:20,
single4090,bad_task_repair_single4090,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_A2_action_std_lam0p003_seed2/sd002_20260609_165639/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_A2_action_std_lam0p003_seed2/sd002_20260609_165639/train.csv,,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_A2_action_std_lam0p003_seed2/sd002_20260609_165639,cube-double-play-singletask-task3-v0,cube-double-play,task3,A2_action_std_lam0p003,2,300000,300000,COMPLETED,0.5,-625.1,339.3,0.5,300000,,,7,1:0 -> 50000:0 -> 100000:0 -> 150000:0 -> 200000:0 -> 250000:0.2 -> 300000:0.5,2026-06-09T18:09:57,
single4090,bad_task_repair_single4090,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_cube_double_task3_A2_action_std_lam0p003_seed2/sd002_20260612_173301/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_cube_double_task3_A2_action_std_lam0p003_seed2/sd002_20260612_173301/train.csv,,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_cube_double_task3_A2_action_std_lam0p003_seed2/sd002_20260612_173301,cube-double-play-singletask-task3-v0,cube-double-play,task3,A2_action_std_lam0p003,2,1000000,1000000,COMPLETED,0.9,-283.9,180.8,1,900000,1,900000,21,1:0 -> 50000:0 -> 100000:0 -> 150000:0 -> 200000:0.1 -> 250000:0.1 -> 300000:0.3 -> 350000:0.6 -> 400000:0.6 -> 450000:0.3 -> 500000:0.7 -> 550000:0.8 -> 600000:0.6 -> 650000:0.8 -> 700000:0.5 -> 750000:0.8 -> 800000:0.6 -> 850000:0.6 -> 900000:1 -> 950000:0.7 -> 1000000:0.9,2026-06-12T21:32:21,
single4090,bad_task_repair_single4090,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_MinimalSB_lam0p0003_seed2/sd002_20260609_131645/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_MinimalSB_lam0p0003_seed2/sd002_20260609_131645/train.csv,,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_MinimalSB_lam0p0003_seed2/sd002_20260609_131645,cube-double-play-singletask-task3-v0,cube-double-play,task3,MinimalSB_lam0p0003,2,300000,300000,COMPLETED,0.4,-645.7,398,0.4,300000,,,7,1:0 -> 50000:0 -> 100000:0 -> 150000:0 -> 200000:0 -> 250000:0.1 -> 300000:0.4,2026-06-09T14:29:42,
single4090,bad_task_repair_single4090,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_MinimalSB_lam0p001_seed2/sd002_20260609_142949/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_MinimalSB_lam0p001_seed2/sd002_20260609_142949/train.csv,,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_MinimalSB_lam0p001_seed2/sd002_20260609_142949,cube-double-play-singletask-task3-v0,cube-double-play,task3,MinimalSB_lam0p001,2,300000,300000,COMPLETED,0.4,-680,379.1,0.4,300000,,,7,1:0 -> 50000:0 -> 100000:0 -> 150000:0 -> 200000:0 -> 250000:0.1 -> 300000:0.4,2026-06-09T15:43:22,
single4090,bad_task_repair_single4090,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_P0_particle_seed2/sd002_20260609_120343/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_P0_particle_seed2/sd002_20260609_120343/train.csv,,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_P0_particle_seed2/sd002_20260609_120343,cube-double-play-singletask-task3-v0,cube-double-play,task3,P0_particle,2,300000,300000,COMPLETED,0.1,-877.5,465.4,0.2,250000,,,7,1:0 -> 50000:0 -> 100000:0 -> 150000:0 -> 200000:0 -> 250000:0.2 -> 300000:0.1,2026-06-09T13:16:38,
