run_id,server,machine_tag,root_path,eval_csv,train_csv,command_txt,domain,task_id,env,config_name,method_group,seed,target_steps,final_step,status,final_success,final_return,final_length,best_peak_success,best_peak_step,best_peak_return,best_peak_length,peak_after_500k_success,peak_after_500k_step,drop_final_from_peak,trajectory_short,has_train_csv,has_command_txt,has_checkpoint,notes,source_kind,source_file
single4090__audit__cube-double-play-singletask-task2-v0__R3_residual_disagree_typicality_lam0p001__seed0__1000000__sd000_20260612_002941,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed0/sd000_20260612_002941/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed0/sd000_20260612_002941/train.csv,,cube-double-play,task2,cube-double-play-singletask-task2-v0,R3_residual_disagree_typicality_lam0p001,R3,0,1000000,900000,completed_300k,0.8,-355.9,229.1,0.9,650000,-318.7,232.6,0.9,650000,-0.09999999999999998,1:0 -> 100k:0 -> 200k:0 -> 300k:0.5 -> 400k:0.6 -> 500k:0.5 -> 600k:0.7 -> 700k:0.8 -> 800k:0.9 -> 900k:0.8,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed0/sd000_20260612_002941/eval.csv
single4090__audit__cube-double-play-singletask-task2-v0__R3_residual_disagree_typicality_lam0p001__seed0__1000000__sd000_20260612_093350,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed0/sd000_20260612_093350/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed0/sd000_20260612_093350/train.csv,,cube-double-play,task2,cube-double-play-singletask-task2-v0,R3_residual_disagree_typicality_lam0p001,R3,0,1000000,1000000,completed_1m,0.7,-450.0,273.3,0.9,450000,-286.0,184.0,0.9,700000,-0.20000000000000007,1:0 -> 100k:0 -> 200k:0.1 -> 300k:0.5 -> 400k:0.5 -> 500k:0.8 -> 600k:0.5 -> 700k:0.9 -> 800k:0.7 -> 900k:0.6 -> 1000k:0.7,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed0/sd000_20260612_093350/eval.csv
single4090__audit__cube-double-play-singletask-task2-v0__R3_residual_disagree_typicality_lam0p001__seed1__1000000__sd001_20260612_133305,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed1/sd001_20260612_133305/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed1/sd001_20260612_133305/train.csv,,cube-double-play,task2,cube-double-play-singletask-task2-v0,R3_residual_disagree_typicality_lam0p001,R3,1,1000000,1000000,completed_1m,0.9,-280.2,198.3,0.9,650000,-299.0,190.1,0.9,650000,0.0,1:0 -> 100k:0 -> 200k:0 -> 300k:0 -> 400k:0.4 -> 500k:0.3 -> 600k:0.7 -> 700k:0.7 -> 800k:0.9 -> 900k:0.8 -> 1000k:0.9,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed1/sd001_20260612_133305/eval.csv
single4090__audit__cube-double-play-singletask-task2-v0__R3_residual_disagree_typicality_lam0p001__seed2__300000__sd002_20260609_104958,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260609_104958/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260609_104958/train.csv,,cube-double-play,task2,cube-double-play-singletask-task2-v0,R3_residual_disagree_typicality_lam0p001,R3,2,300000,300000,completed_300k,0.4,-644.3,365.0,0.4,300000,-644.3,365.0,,,0.0,1:0 -> 100k:0 -> 200k:0.1 -> 300k:0.4,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260609_104958/eval.csv
single4090__audit__cube-double-play-singletask-task2-v0__R3_residual_disagree_typicality_lam0p001__seed2__1000000__sd002_20260611_203011,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260611_203011/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260611_203011/train.csv,,cube-double-play,task2,cube-double-play-singletask-task2-v0,R3_residual_disagree_typicality_lam0p001,R3,2,1000000,1000000,completed_1m,0.9,-369.7,239.4,0.9,1000000,-369.7,239.4,0.9,1000000,0.0,1:0 -> 100k:0 -> 200k:0 -> 300k:0.4 -> 400k:0.3 -> 500k:0.6 -> 600k:0.6 -> 700k:0.7 -> 800k:0.6 -> 900k:0.8 -> 1000k:0.9,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260611_203011/eval.csv
single4090__audit__cube-double-play-singletask-task3-v0__A1_action_std_lam0p001__seed2__300000__sd002_20260609_154329,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_A1_action_std_lam0p001_seed2/sd002_20260609_154329/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_A1_action_std_lam0p001_seed2/sd002_20260609_154329/train.csv,,cube-double-play,task3,cube-double-play-singletask-task3-v0,A1_action_std_lam0p001,A1,2,300000,300000,completed_300k,0.4,-681.6,391.5,0.4,300000,-681.6,391.5,,,0.0,1:0 -> 100k:0 -> 200k:0 -> 300k:0.4,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_A1_action_std_lam0p001_seed2/sd002_20260609_154329/eval.csv
single4090__audit__cube-double-play-singletask-task3-v0__A2_action_std_lam0p003__seed0__1000000__sd000_20260612_213228,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task3_A2_action_std_lam0p003_seed0/sd000_20260612_213228/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task3_A2_action_std_lam0p003_seed0/sd000_20260612_213228/train.csv,,cube-double-play,task3,cube-double-play-singletask-task3-v0,A2_action_std_lam0p003,A2,0,1000000,1000000,completed_1m,0.8,-394.8,283.3,1.0,700000,-239.3,166.4,1.0,700000,-0.19999999999999996,1:0 -> 100k:0 -> 200k:0 -> 300k:0.1 -> 400k:0 -> 500k:0.5 -> 600k:0.8 -> 700k:1 -> 800k:0.6 -> 900k:0.7 -> 1000k:0.8,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task3_A2_action_std_lam0p003_seed0/sd000_20260612_213228/eval.csv
single4090__audit__cube-double-play-singletask-task3-v0__A2_action_std_lam0p003__seed1__1000000__sd001_20260613_013227,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task3_A2_action_std_lam0p003_seed1/sd001_20260613_013227/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task3_A2_action_std_lam0p003_seed1/sd001_20260613_013227/train.csv,,cube-double-play,task3,cube-double-play-singletask-task3-v0,A2_action_std_lam0p003,A2,1,1000000,1000000,completed_1m,0.8,-465.4,273.2,1.0,800000,-268.4,189.9,1.0,800000,-0.19999999999999996,1:0 -> 100k:0 -> 200k:0 -> 300k:0 -> 400k:0.2 -> 500k:0.5 -> 600k:0.8 -> 700k:0.8 -> 800k:1 -> 900k:1 -> 1000k:0.8,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task3_A2_action_std_lam0p003_seed1/sd001_20260613_013227/eval.csv
single4090__audit__cube-double-play-singletask-task3-v0__A2_action_std_lam0p003__seed2__300000__sd002_20260609_165639,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_A2_action_std_lam0p003_seed2/sd002_20260609_165639/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_A2_action_std_lam0p003_seed2/sd002_20260609_165639/train.csv,,cube-double-play,task3,cube-double-play-singletask-task3-v0,A2_action_std_lam0p003,A2,2,300000,300000,completed_300k,0.5,-625.1,339.3,0.5,300000,-625.1,339.3,,,0.0,1:0 -> 100k:0 -> 200k:0 -> 300k:0.5,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_A2_action_std_lam0p003_seed2/sd002_20260609_165639/eval.csv
single4090__audit__cube-double-play-singletask-task3-v0__A2_action_std_lam0p003__seed2__1000000__sd002_20260612_173301,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_cube_double_task3_A2_action_std_lam0p003_seed2/sd002_20260612_173301/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_cube_double_task3_A2_action_std_lam0p003_seed2/sd002_20260612_173301/train.csv,,cube-double-play,task3,cube-double-play-singletask-task3-v0,A2_action_std_lam0p003,A2,2,1000000,1000000,completed_1m,0.9,-283.9,180.8,1.0,900000,-231.6,171.1,1.0,900000,-0.09999999999999998,1:0 -> 100k:0 -> 200k:0.1 -> 300k:0.3 -> 400k:0.6 -> 500k:0.7 -> 600k:0.6 -> 700k:0.5 -> 800k:0.6 -> 900k:1 -> 1000k:0.9,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_cube_double_task3_A2_action_std_lam0p003_seed2/sd002_20260612_173301/eval.csv
