env,config,seed,target_steps,final_step,status,success_final,return_final,length_final,success_best,best_step,valueflow_success_mean,exceeds_valueflow_final,high_then_final_collapse,trajectory,eval_csv,run_dir
puzzle-4x4-play-singletask-task1-v0,MinimalSB_lam0p003,2,300000,300000,COMPLETED,0.3,-2169.7,442.1,0.4,200000,0.36,False,False,1:0 -> 50000:0 -> 100000:0 -> 150000:0.3 -> 200000:0.4 -> 250000:0.3 -> 300000:0.3,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task1_MinimalSB_lam0p003_seed2/sd002_20260615_174043/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task1_MinimalSB_lam0p003_seed2/sd002_20260615_174043
puzzle-4x4-play-singletask-task1-v0,P0_particle,2,300000,300000,COMPLETED,0.5,-2046.9,380.5,0.5,300000,0.36,True,False,1:0 -> 50000:0 -> 100000:0 -> 150000:0.2 -> 200000:0.2 -> 250000:0.4 -> 300000:0.5,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task1_P0_particle_seed2/sd002_20260615_162552/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task1_P0_particle_seed2/sd002_20260615_162552
puzzle-4x4-play-singletask-task1-v0,R2_residual_disagree_lam0p001,2,300000,300000,COMPLETED,0.2,-2481.4,493.5,0.5,250000,0.36,False,True,1:0 -> 50000:0 -> 100000:0 -> 150000:0 -> 200000:0.3 -> 250000:0.5 -> 300000:0.2,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task1_R2_residual_disagree_lam0p001_seed2/sd002_20260615_224116/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task1_R2_residual_disagree_lam0p001_seed2/sd002_20260615_224116
puzzle-4x4-play-singletask-task1-v0,R3_residual_disagree_typicality_lam0p001,2,300000,300000,COMPLETED,0.3,-2184.3,424.6,0.4,200000,0.36,False,False,1:0 -> 50000:0 -> 100000:0 -> 150000:0 -> 200000:0.4 -> 250000:0.3 -> 300000:0.3,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task1_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260615_235715/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task1_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260615_235715
puzzle-4x4-play-singletask-task3-v0,A1_action_std_lam0p001,2,300000,300000,COMPLETED,0.4,-1766.3,442.9,0.4,300000,0.3,True,False,1:0 -> 50000:0 -> 100000:0 -> 150000:0.1 -> 200000:0.1 -> 250000:0.3 -> 300000:0.4,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_A1_action_std_lam0p001_seed2/sd002_20260616_115218/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_A1_action_std_lam0p001_seed2/sd002_20260616_115218
puzzle-4x4-play-singletask-task3-v0,A2_action_std_lam0p003,2,300000,300000,COMPLETED,0.3,-1807.3,441.8,0.7,250000,0.3,True,True,1:0 -> 50000:0 -> 100000:0 -> 150000:0.2 -> 200000:0.5 -> 250000:0.7 -> 300000:0.3,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_A2_action_std_lam0p003_seed2/sd002_20260616_130825/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_A2_action_std_lam0p003_seed2/sd002_20260616_130825
puzzle-4x4-play-singletask-task3-v0,MinimalSB_lam0p001,2,300000,100000,INTERRUPTED,0,-3864.3,500,0,1,0.3,,,1:0 -> 50000:0 -> 100000:0,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_MinimalSB_lam0p001_seed2/sd002_20260616_034310/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_MinimalSB_lam0p001_seed2/sd002_20260616_034310
puzzle-4x4-play-singletask-task3-v0,MinimalSB_lam0p001,2,300000,300000,COMPLETED,0.3,-1790.4,447.2,0.4,200000,0.3,True,False,1:0 -> 50000:0 -> 100000:0 -> 150000:0.1 -> 200000:0.4 -> 250000:0.4 -> 300000:0.3,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_MinimalSB_lam0p001_seed2/sd002_20260616_103625/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_MinimalSB_lam0p001_seed2/sd002_20260616_103625
puzzle-4x4-play-singletask-task3-v0,MinimalSB_lam0p003,2,300000,300000,COMPLETED,0.1,-1790.8,467.8,0.4,250000,0.3,False,True,1:0 -> 50000:0 -> 100000:0 -> 150000:0.2 -> 200000:0.2 -> 250000:0.4 -> 300000:0.1,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_MinimalSB_lam0p003_seed2/sd002_20260616_022811/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_MinimalSB_lam0p003_seed2/sd002_20260616_022811
puzzle-4x4-play-singletask-task3-v0,P0_particle,2,300000,300000,COMPLETED,0.2,-1786.5,456.9,0.6,200000,0.3,False,True,1:0 -> 50000:0 -> 100000:0 -> 150000:0.4 -> 200000:0.6 -> 250000:0.3 -> 300000:0.2,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_P0_particle_seed2/sd002_20260616_011303/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_P0_particle_seed2/sd002_20260616_011303
puzzle-4x4-play-singletask-task3-v0,R2_residual_disagree_lam0p001,2,300000,300000,COMPLETED,0.5,-1824.8,397.1,0.8,250000,0.3,True,True,1:0 -> 50000:0 -> 100000:0 -> 150000:0.2 -> 200000:0.6 -> 250000:0.8 -> 300000:0.5,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_R2_residual_disagree_lam0p001_seed2/sd002_20260616_142426/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_R2_residual_disagree_lam0p001_seed2/sd002_20260616_142426
puzzle-4x4-play-singletask-task3-v0,R3_residual_disagree_typicality_lam0p001,2,300000,300000,COMPLETED,0.1,-1824.6,468.3,0.3,200000,0.3,False,False,1:0 -> 50000:0 -> 100000:0 -> 150000:0.2 -> 200000:0.3 -> 250000:0.3 -> 300000:0.1,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260616_154111/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260616_154111
