training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,exploration/prev_qpos,exploration/prev_qvel,exploration/qpos,exploration/qvel,exploration/control,exploration/time,exploration/success,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,step
207.45927,0.08299086,0.0043906746,0.0070188874,-207.33238,207.33238,0.006391346,-189.42896,-207.41168,-216.7033,0.20665284,-0.2539787,6.9874907,205.49193,0.7553712,0.034476247,0.06566655,-204.3918,204.3918,4.827914,-187.18205,-204.3746,-216.58257,0.007292643623352051,182.31615805625916,-0.21035609152261778,0.0009762907676296882,-0.21014871738935031,0.003239575368280169,35.17674846549412,25.099999999996967,0.0,25000.0,-2.0,-1000.0,500.0,2.3623111248016357,25000
287.16904,0.06205963,0.005550428,0.0076862867,-287.05148,287.05148,0.008563615,-255.68718,-287.15164,-299.91632,0.13679515,-0.17017974,5.378457,286.45013,0.68643916,0.027452826,0.055770576,-285.48917,285.48917,4.092025,-265.06888,-285.52832,-291.62094,0.0051323848628997805,310.6257951259613,-0.08564942864854988,0.0013220739543995217,-0.08557970710956485,0.0010350599053825888,35.596953815652924,25.099999999996967,0.0,50000.0,-2.0,-1000.0,500.0,2.545762300491333,50000
304.74844,0.035832193,0.029873947,0.03091362,-304.41388,304.41388,0.05138289,-217.3141,-305.008,-338.72342,0.20498861,-0.2934996,8.114255,303.0337,0.56155246,0.059979003,0.07376685,-301.87234,301.87234,22.055962,-242.35158,-302.11035,-323.37622,0.005361157064437867,444.65473079681396,-0.022236829459164054,-0.0031054945548715956,-0.02237675881924552,-0.002723241200012282,-0.2096084822282056,25.099999999996967,0.0,75000.0,-2.0,-1000.0,500.0,2.198028326034546,75000
297.21356,0.042493723,0.031541947,0.033352017,-296.85565,296.85565,0.0789591,-223.18672,-297.49988,-355.87607,0.24820594,-0.19686194,9.7386675,298.1381,0.5597992,0.066673316,0.075635575,-296.91156,296.91156,20.11385,-243.56313,-297.13376,-322.26425,0.0048578274917602535,566.1004281044006,-0.05505918391106955,0.019633826634175292,-0.05392218365237137,0.020463304580225328,35.898114943440014,25.099999999996967,0.0,100000.0,-2.0,-1000.0,500.0,3.194016695022583,100000
280.9919,0.05203713,0.040953618,0.042362448,-280.53033,280.53033,0.13999395,-202.97742,-281.35367,-337.6995,0.48621866,-0.7333854,21.889717,284.91998,0.5283299,0.070901506,0.07941834,-283.68265,283.68265,29.605785,-206.92941,-284.19257,-330.8016,0.005497343578338623,703.5340266227722,-0.1623012531195129,-0.0044043734669016645,-0.16254430493106023,-0.004521945664679041,-1.03261076722069,25.099999999996967,0.0,125000.0,-2.0,-1000.0,500.0,2.1703145503997803,125000
256.7993,0.054453123,0.04457838,0.04566993,-256.29904,256.29904,0.31943133,-155.9088,-257.2071,-319.00955,1.6992328,-1.4646469,53.734394,268.64636,0.63087034,0.05577136,0.08255921,-267.45776,267.45776,31.458614,-198.60965,-267.86273,-313.45105,0.004985814437866211,828.1793959140778,-0.02109094176499815,-0.002643714058314418,-0.021238675274811738,-0.003038793220480546,35.77468236020884,25.099999999996967,0.0,150000.0,-2.0,-1000.0,500.0,2.220982074737549,150000
248.46317,0.06976942,0.035747763,0.03686994,-248.03592,248.03592,0.13031927,-186.68425,-248.74,-307.89395,0.3290384,-0.73855126,13.12837,263.6477,0.9789117,0.07636248,0.079451226,-261.90518,261.90518,26.60918,-195.98625,-262.16882,-315.97824,0.005343386240005493,961.7640602588654,-0.17285240386717238,0.0016525228531058514,-0.17288172256605763,-0.0007939479190789884,-0.981104018118703,25.099999999996967,0.0,175000.0,-2.0,-1000.0,500.0,2.0657763481140137,175000
255.5647,0.0790197,0.032853924,0.03468557,-255.15714,255.15714,0.20417163,-206.41629,-255.84044,-309.88837,0.57082254,-0.5336815,19.641672,268.88892,0.7657012,0.10480336,0.08915731,-267.0752,267.0752,23.445171,-220.00006,-267.27032,-307.66357,0.00475048807144165,1080.5262715816498,-0.016018065728269918,-0.010787317692735655,-0.016549903091045558,-0.009272982252770897,35.77270366068058,25.099999999996967,0.0,200000.0,-2.0,-1000.0,500.0,2.346822500228882,200000
267.10324,0.048029162,0.027836693,0.030117178,-266.77686,266.77686,0.12982887,-182.92485,-267.32883,-308.9045,0.8293297,-0.41922235,21.062294,279.76358,0.9866015,0.079994254,0.075930856,-277.97705,277.97705,15.320198,-227.60753,-278.15002,-308.45752,0.005100687685012818,1208.0434873104095,-0.13822110966107917,-0.017958205077150676,-0.13911352694466367,-0.01765140965670208,-0.8178153832423101,25.099999999996967,0.0,225000.0,-2.0,-1000.0,500.0,2.085993528366089,225000
264.162,0.070483916,0.034638282,0.035925027,-263.74512,263.74512,0.23083547,-175.57562,-264.46252,-322.43988,0.5249357,-0.39559907,18.516571,277.24103,0.74143976,0.09100404,0.07600891,-275.58954,275.58954,29.748047,-214.14178,-275.82556,-322.30374,0.004945963306427002,1331.692580461502,-0.08881016906292476,2.7095644589551014e-05,-0.08904618663369142,-0.0001349041598151894,35.39203623782735,25.099999999996967,0.0,250000.0,-2.0,-1000.0,500.0,2.970362424850464,250000
