training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,exploration/prev_button_states,exploration/button_states,exploration/prev_qpos,exploration/prev_qvel,exploration/qpos,exploration/qvel,exploration/control,exploration/time,exploration/success,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,step
268.68527,0.27872115,0.21417837,0.23431249,-266.26477,266.26477,2.9153774,-137.40846,-270.89328,-401.64005,10.364637,-4.8487554,183.23087,267.63815,0.67131746,0.19720533,0.26416358,-264.99478,264.99478,98.341965,-167.98618,-267.11566,-336.73172,0.010394121131896973,259.8530569076538,0.375,0.375,-0.0867398201428491,-0.009002596807003828,-0.08541946376748664,0.006216997568390696,35.83031849935294,25.249999999996884,0.0,25000.0,-2.0,-1406.0,500.0,2.8078370094299316,25000
193.8132,0.21479924,0.23762165,0.25471294,-191.22218,191.22218,2.3213758,-43.287094,-195.82336,-325.7943,2.9722583,-2.0710292,113.41987,211.25047,0.58749765,0.21131583,0.30997223,-208.54982,208.54982,89.40245,-63.90309,-210.25873,-285.31882,0.007799432621002197,454.8388855457306,0.5625,0.5625,-0.19501291182021757,0.09342560488979472,-0.19329951127912862,-0.06885594016711663,7.598754441162371,25.249999999996884,0.0,49732.0,-9.0,-4116.0,500.0,4.538906097412109,50000
165.21872,0.19042599,0.2081028,0.21737757,-162.94727,162.94727,1.9183495,-20.723507,-167.09239,-330.3715,2.8780231,-1.1141648,68.98851,204.95822,0.66049105,0.19548406,0.29840985,-202.3429,202.3429,135.5381,-101.285995,-204.9739,-304.36603,0.009035816860198975,680.7343173027039,0.375,0.375,-0.14717353228990923,-0.016534196571210906,-0.15297409305282325,-0.09816783841932328,24.281002642745516,25.249999999996884,0.0,74715.0,-4.0,-3352.0,500.0,4.318653345108032,75000
150.89859,0.19018382,0.18398468,0.19245045,-148.86856,148.86856,2.7070417,-0.7061728,-152.78754,-311.82114,2.1591663,-1.6577187,87.17563,193.07996,0.63058525,0.19279823,0.26867244,-190.5214,190.5214,167.79913,-88.40905,-191.64964,-275.79907,0.007419393396377563,866.2191624641418,0.375,0.5,-0.14607943530964765,0.032769486933890396,-0.14080403170863973,0.07365792738747981,20.22986968337864,6.299999999999528,1.0,99830.0,0.0,-888.0,121.0,0.704291820526123,100000
154.63905,0.17980306,0.19164889,0.20242952,-152.54276,152.54276,3.2766502,-12.636275,-156.49002,-309.88635,3.102967,-3.7060807,109.44863,205.64836,0.6870598,0.21669257,0.2858424,-202.79437,202.79437,157.79773,-94.86354,-204.84036,-273.75552,0.008050937347412109,1067.4926073551178,0.375,0.5,-0.18108447859988058,0.2860084443037112,-0.1677924214021031,0.2308045409975428,-0.8458921429182455,3.999999999999781,1.0,124779.0,0.0,-469.0,75.0,0.4437882900238037,125000
132.24612,0.20594369,0.16856652,0.17769945,-130.35452,130.35452,1.9620591,0.8847508,-133.91489,-341.6832,2.2244887,-1.6458,72.421745,178.61694,0.7010177,0.20185223,0.30512735,-175.8974,175.8974,142.34207,-91.38103,-177.7474,-270.22433,0.0067233531665802,1235.5764541625977,0.375,0.375,-0.14401765881222278,0.0009922208994910127,-0.14409565885510744,-0.00131243852662348,24.671674138822226,25.249999999996884,0.0,149967.0,-2.0,-1753.0,500.0,3.0303351879119873,150000
137.46239,0.2172964,0.18345645,0.18309534,-135.41052,135.41052,2.059098,-0.34593827,-139.16864,-445.53027,1.3821216,-2.406253,77.65341,170.33852,0.7265088,0.20705257,0.31138968,-167.54149,167.54149,101.66901,-48.03143,-169.64438,-245.05971,0.006808338022232055,1405.7849171161652,0.375,0.5,-0.16685636938228926,-0.1612322204950413,-0.1683335037563147,0.2661882497781098,15.573760059128308,2.999999999999891,1.0,174615.0,0.0,-324.0,55.0,0.32959985733032227,175000
122.29148,0.2008742,0.15959285,0.17074053,-120.494675,120.494675,1.7485147,1.7703698,-123.843,-294.76178,1.9367163,-1.1465589,62.10982,173.33142,0.66366965,0.21699555,0.31841514,-170.4978,170.4978,109.60711,-57.08423,-172.0505,-256.8602,0.006490099182128907,1568.0374114513397,0.375,0.5,-0.14750668640333073,0.0786292906741785,-0.13055690551709012,0.23357699327439796,35.60253495826828,3.399999999999847,1.0,199942.0,0.0,-350.0,63.0,0.3772730827331543,200000
121.588165,0.1778195,0.16091183,0.16826496,-119.80122,119.80122,2.5872858,0.737504,-123.4081,-325.97784,2.2382894,-2.6100893,90.976425,179.49057,0.7088186,0.2234199,0.33276913,-176.54755,176.54755,146.93271,-63.300163,-179.36728,-265.88303,0.006713774271011353,1735.8817777633667,0.375,0.5,-0.15207122895596392,-0.11121806933711542,-0.15079681379112708,0.13122951947411618,18.524934892120484,2.4999999999999463,1.0,224974.0,0.0,-272.0,45.0,0.25899696350097656,225000
122.70032,0.20906055,0.17292023,0.17853019,-120.762054,120.762054,1.0388974,0.5850953,-124.2433,-268.15808,1.1738856,-1.0593727,56.874454,167.7247,0.6970818,0.2054904,0.29506737,-164.97272,164.97272,114.25015,-53.698532,-166.8028,-240.78917,0.006489021339416504,1898.1073205471039,0.375,0.5,-0.13310876520363707,0.20904142028315753,-0.13171019883299614,0.005980512307758495,17.12159347389602,2.8499999999999077,1.0,249991.0,0.0,-285.0,52.0,0.3074164390563965,250000
116.240265,0.18234861,0.14158863,0.14769712,-114.64203,114.64203,1.1826673,0.7305583,-117.61977,-335.06976,1.6739309,-1.7717108,57.580093,162.39722,0.6720435,0.21252827,0.2997243,-159.59988,159.59988,120.61584,-45.31084,-161.8406,-257.94608,0.006589571952819825,2062.8466289043427,0.375,0.5,-0.18008425170864625,0.024088858311450436,-0.18142119999319875,0.45707399275256255,-0.896731019956017,2.6999999999999242,1.0,274978.0,0.0,-273.0,49.0,0.283951997756958,275000
107.60541,0.16458565,0.12491111,0.130102,-106.19171,106.19171,0.9548689,0.5796802,-108.93871,-346.66986,0.6870528,-2.659185,37.944046,158.803,0.86837786,0.22936466,0.32070547,-155.64098,155.64098,106.70819,-53.329784,-157.64062,-238.63547,0.006540125102996826,2226.3497653007507,0.375,0.5,-0.15097946561344797,0.22863517685501483,-0.13232486118221773,-0.015789702506680468,28.548773400023823,2.9499999999998967,1.0,299985.0,0.0,-308.0,54.0,0.31934547424316406,300000
109.14297,0.16069137,0.108629026,0.11351042,-107.89599,107.89599,1.1535885,0.36974457,-110.32686,-280.79984,0.833222,-0.690259,46.13937,159.01411,0.74862534,0.22050337,0.32022914,-156.06046,156.06046,112.40291,-59.225636,-158.06963,-238.40074,0.006418382577896118,2386.8093411922455,0.375,0.5,-0.1922311552102719,0.25566505029503556,-0.17743569156199795,-0.0040303800570509985,10.3459755730631,2.3999999999999573,1.0,324962.0,0.0,-251.0,43.0,0.2572207450866699,325000
108.559265,0.17423259,0.11964299,0.12666257,-107.18861,107.18861,0.8479396,0.2743243,-109.59117,-284.32126,0.819331,-1.0184233,38.31636,158.76619,0.7183533,0.2307312,0.31770977,-155.74052,155.74052,107.74357,-40.65306,-157.76712,-239.30374,0.006663808832168579,2553.4045712947845,0.375,0.5,-0.1385132345401835,0.1641590671406237,-0.13425388852796022,0.003163405006038297,26.143327055181096,2.7999999999999132,1.0,349995.0,0.0,-275.0,51.0,0.2995719909667969,350000
100.39701,0.16091914,0.11330765,0.12206229,-99.10301,99.10301,0.8483876,0.21663809,-101.47751,-270.21924,1.19395,-1.4534808,44.373356,157.90056,0.90970176,0.23879504,0.3140934,-154.6029,154.6029,107.74748,-50.435863,-156.69537,-248.84143,0.006254462757110596,2709.7661502361298,0.375,0.5,-0.1731966204147951,0.4934014776213051,-0.15684737868903423,-0.045446467987538895,16.316869627095205,2.5499999999999408,1.0,374971.0,0.0,-276.0,46.0,0.2676119804382324,375000
97.675285,0.15063591,0.095535986,0.10195354,-96.56929,96.56929,0.86134404,0.5632241,-98.761604,-278.5362,1.3878428,-0.8479398,41.311695,157.66364,1.1736425,0.23998971,0.33363795,-154.09009,154.09009,108.71773,-61.78916,-155.84175,-240.6066,0.006107431678771973,2862.4519517421722,0.375,0.5,-0.17055245818671624,0.18278119606103255,-0.15554231678846506,-0.13069733944394396,14.372766651217045,2.5499999999999408,1.0,399996.0,0.0,-261.0,46.0,0.2698984146118164,400000
103.347694,0.15030967,0.101986066,0.10909177,-102.17752,102.17752,1.0346003,0.75925624,-104.60884,-233.98448,1.3446108,-1.4386525,50.62678,155.46616,0.8774435,0.21918292,0.33998507,-152.39688,152.39688,124.95929,-46.099014,-154.57101,-234.46796,0.006379913234710694,3021.9497916698456,0.375,0.5,-0.1969552970015112,-0.1542701743233924,-0.19858525105451819,0.41021650496028444,-0.9057406568900281,2.4499999999999518,1.0,424977.0,0.0,-244.0,44.0,0.25924134254455566,425000
96.982086,0.16906576,0.08544328,0.089338325,-95.95859,95.95859,1.2572716,0.4862045,-97.911064,-316.94125,1.0132089,-0.87119716,48.233032,155.21718,0.8234257,0.21786761,0.3246893,-152.21507,152.21507,117.68092,-41.009808,-154.4198,-256.86838,0.006170076808929443,3176.201733112335,0.375,0.5,-0.17207194693492855,-0.01233437071230011,-0.15596034570857883,0.6004612047735202,19.569267430005198,2.1999999999999793,1.0,449977.0,0.0,-232.0,39.0,0.22952651977539062,450000
102.929756,0.17209157,0.084509514,0.09120966,-101.91257,101.91257,1.1620617,1.1260664,-103.921616,-292.9604,0.94218385,-2.0605164,40.835117,159.64821,0.7442233,0.22318275,0.32321194,-156.67216,156.67216,91.433945,-40.40709,-158.89296,-247.2924,0.006521674175262451,3339.243597507477,0.375,0.5,-0.20947640319311595,-0.12199038793724483,-0.21064987679713026,0.3385536165736497,-0.9399127066308341,2.3999999999999573,1.0,474959.0,0.0,-234.0,43.0,0.24172163009643555,475000
99.8456,0.14414667,0.09478792,0.095019616,-98.75357,98.75357,0.7820591,0.34168577,-100.671936,-233.79626,0.8407275,-0.829106,34.138367,155.1641,0.827479,0.2969759,0.32306418,-151.36685,151.36685,124.70961,-45.829445,-153.48816,-230.5759,0.006179247932434082,3493.7248055934906,0.375,0.5,-0.1737406301855199,0.16600908618751375,-0.1701277117441121,0.2962054368524632,7.79255242152,2.4499999999999518,1.0,499994.0,0.0,-281.0,44.0,0.2623932361602783,500000
98.74018,0.15115622,0.08637363,0.092658855,-97.72529,97.72529,1.1211449,0.59221864,-99.59242,-291.89056,0.5854427,-0.95203406,37.03649,155.75284,0.8817833,0.22593199,0.3106067,-152.61174,152.61174,83.936615,-62.172867,-155.38283,-236.52022,0.006674775056838989,3660.594191789627,0.375,0.5,-0.17133012828451868,0.10325787290044994,-0.16989332997013804,0.1887228152042059,12.551099765745448,2.2999999999999683,1.0,524931.0,0.0,-263.0,41.0,0.2363145351409912,525000
98.55001,0.15092309,0.08060091,0.090012796,-97.59308,97.59308,2.0161264,0.021033645,-99.52698,-284.1921,1.7218277,-1.7791151,57.526016,150.05019,1.2632713,0.23746498,0.32968986,-146.41226,146.41226,118.25938,-49.141804,-149.01865,-236.38513,0.006332404689788819,3818.904318332672,0.375,0.5,-0.20784226784364604,-0.062377053619013724,-0.2137367998299811,-0.1391975222631087,-0.949924307938336,2.6499999999999297,1.0,549997.0,0.0,-257.0,48.0,0.2677273750305176,550000
106.055595,0.16449526,0.083955936,0.0951566,-105.051544,105.051544,1.1574621,0.24265173,-106.89955,-251.48367,1.4729531,-1.4757615,46.782097,150.72057,0.8528306,0.2336885,0.3388302,-147.53085,147.53085,139.74428,-54.070248,-149.9083,-252.44962,0.006663302621841431,3985.486892938614,0.375,0.5,-0.2154293161342025,-0.15683271154525244,-0.21954314544635006,0.5020094010907873,-0.978664539910713,2.5999999999999353,1.0,574963.0,0.0,-274.0,47.0,0.26750636100769043,575000
91.01426,0.1686312,0.07952156,0.08430355,-90.050415,90.050415,0.9831638,0.048454493,-91.693794,-231.73193,1.2330773,-1.3053614,56.540245,157.75839,0.8635087,0.23498578,0.3083273,-154.54503,154.54503,89.81865,-63.00504,-156.67729,-248.7529,0.006304832496643067,4143.107716798782,0.375,0.5,-0.16879225336771617,-0.06576220985225104,-0.17183915425485238,0.00549211410220834,17.320205771085394,2.149999999999985,1.0,599992.0,0.0,-230.0,38.0,0.288283109664917,600000
92.37221,0.13427638,0.07973029,0.08420294,-91.44063,91.44063,1.1094406,0.8032968,-93.09462,-241.5947,0.9222346,-2.0615575,41.479755,167.37494,0.8910549,0.21715431,0.32446638,-164.31235,164.31235,80.86118,-81.51077,-167.48601,-232.66963,0.006289709348678589,4300.350459814072,0.375,0.5,-0.18907266320194588,-0.013036598086326972,-0.17734337053279325,0.15882526115407056,-0.8983141158311516,2.7499999999999187,1.0,625000.0,0.0,-295.0,50.0,0.2937736511230469,625000
96.67077,0.15576513,0.0913636,0.09794425,-95.601364,95.601364,1.5935302,0.3285446,-97.70361,-264.99536,1.8205948,-0.8482304,47.90406,161.58516,0.70401967,0.24635796,0.33592913,-158.41756,158.41756,80.6752,-55.373207,-161.21587,-254.09181,0.0063711788463592526,4459.629940032959,0.375,0.5,-0.15603737120127323,0.5519519067886688,-0.1543523122712229,-0.06406340930353756,14.762990574094145,2.4499999999999518,1.0,649991.0,0.0,-247.0,44.0,0.2559084892272949,650000
